ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
316,1,19,male,4,1,4,1,1,4,1,3,4,4,3,3,1,3,1,3,2,1,2,1,2,7,7,2
317,0,21,male,4,1,1,1,1,4,1,1,1,1,3,3,3,3,3,3,1,2,2,2,1,2,3,5
318,1,19,female,4,1,1,1,1,3,3,1,2,1,3,1,2,1,2,3,1,2,2,2,2,3,4,5
319,0,11,male,3,2,1,1,2,4,1,3,1,2,4,2,3,2,3,3,1,1,2,4,2,8,8,8
320,0,11,female,4,1,1,1,1,3,2,2,2,1,4,2,1,3,4,3,3,2,4,3,1,2,3,8
321,0,11,female,3,3,3,2,3,3,3,3,3,3,3,4,4,1,3,4,4,4,4,4,2,3,4,5
322,1,19,female,3,2,1,3,2,3,2,1,2,2,3,2,1,3,2,3,3,1,2,3,2,3,4,5
323,1,16,male,4,1,1,1,1,3,2,1,2,4,4,1,2,1,1,4,1,2,1,1,2,3,4,5
324,1,3,male,4,1,4,2,2,3,3,1,1,1,3,2,1,1,1,3,1,1,1,1,2,1,4,5
325,1,12,male,4,1,1,1,1,3,2,1,1,1,4,2,1,2,1,3,3,3,3,3,1,2,3,4
326,0,25,female,3,3,4,3,2,4,1,1,1,1,3,2,1,1,1,3,1,2,3,3,2,3,4,5
327,0,24,female,4,1,1,1,1,4,1,1,1,2,3,1,1,2,1,3,1,2,2,3,1,8,3,8
328,0,15,male,3,2,3,2,3,3,2,1,1,1,4,1,1,1,2,3,2,1,1,1,2,3,4,5
329,0,23,female,3,2,2,2,1,3,1,1,1,1,3,3,1,1,1,4,1,2,1,2,2,3,4,5
330,0,2,male,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
331,1,12,male,4,3,1,3,2,3,2,1,2,1,3,2,2,1,2,4,2,1,1,1,1,2,3,4
332,0,24,female,4,1,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,4,3,1,3,1,2,8,NA,3
333,1,1,female,3,2,2,2,1,4,2,1,1,1,4,1,1,1,1,4,1,1,1,1,2,3,4,5
334,1,18,female,4,1,1,1,1,3,NA,1,3,2,3,2,3,2,2,3,2,2,1,2,1,2,3,5
335,0,23,female,4,1,1,1,1,3,2,1,1,1,4,1,1,1,1,4,4,1,1,1,1,1,2,3
336,0,17,female,3,1,3,2,1,3,3,2,2,3,3,2,2,2,2,3,2,3,2,4,2,3,4,5
337,1,18,female,3,4,4,1,4,3,1,3,3,4,4,3,3,2,2,4,3,2,3,3,1,1,2,3
338,1,1,female,4,3,1,2,3,3,2,2,2,2,3,2,2,2,2,4,4,4,4,4,1,1,2,3
339,1,18,female,3,2,2,1,1,3,2,2,2,1,3,1,2,2,1,3,1,2,2,2,1,2,8,8
340,1,4,female,4,1,1,1,2,4,1,2,1,1,4,1,1,1,1,4,1,1,1,1,1,2,2,3
341,1,4,female,3,3,2,2,2,4,1,1,1,1,4,1,2,1,2,3,2,2,3,2,2,8,8,5
342,0,6,female,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
343,0,6,female,3,2,2,2,4,3,2,2,2,3,3,4,4,4,4,3,3,1,3,3,1,1,1,3
344,0,21,female,3,4,3,1,3,3,2,2,1,3,4,1,1,1,1,4,4,2,1,1,1,2,2,3
345,1,14,female,4,3,4,3,3,3,4,2,4,4,3,3,3,3,3,3,2,2,2,2,2,1,2,3
346,1,10,male,3,2,4,4,4,4,3,3,4,2,3,3,4,4,2,3,2,1,1,1,1,2,3,4
